sentence1	sentence2	label
They said that the current system reflects that diversity , with agencies developing new participation processes and information management systems as needed for their individual programs and communities .	They said that the current system reflects that diversity	entailment
Following publication of the proposed rule ( 58 Fed .	The proposed rule was published in the NYT .	neutral
Auditors from another country engaged to conduct audits in their country should meet the professional qualifications to practice under that country 's laws and regulations or other acceptable standards , such as those issued by the International Organization of Supreme Audit Institutions .	Auditors may conduct business in foreign countries .	entailment
And yet , we still lack a set of global accounting and reporting standards that reflects the globalization of economies , enterprises , and markets .	The globalization of economies is not reflected in global accounting standards .	entailment
Had we had more money we would have facilitated more conferences .	The reason we did not have more conferences was not a money issue .	contradiction
Gordon , Robert J . Does the 'New Economy ' Measure Up to the Great Inventions of the Past .	The New Economy is rapidly changing .	neutral
Chapter 1 provides general background information on emission control technologies .	Chapter 1 is important	neutral
Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons .	Court officials include the phone numbers of legal aid departments because it will help those who ca n't afford to pay lawyers .	neutral
( Cohen 1999 ) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies .	They do n't want to lower costs .	contradiction
experiencing cost growth , manufacturing problems with test aircraft , and testing delays .	There are no cost growths associated with testing aircraft .	contradiction
Whether a government postal service can engage in these kinds of negotiations deserves serious study .	It is already certain that the postal service can engage in these negotiations .	contradiction
Concurrent with downsizing , procurement regulations have been modified to allow agencies greater flexibility and choice in selecting contracting methods for acquiring facilities .	Agencies have been allowed greater flexibility and choice in selecting contracting methods .	entailment
Several security managers said that by participating in our study , they hoped to gain insights on how to improve their information security programs .	All security managers said they were concerned about threats to their information security .	contradiction
'These are human lives .	These are animal lives	contradiction
The community courthouse will be held every second Tuesday of the month at Carver at 217 Paso Hondo .	On the second Tuesday of the month they were at the community courthouse .	entailment
Beyond the Quantitative Cul-de- A Qualitative Perspective on Youth Employment Programs .	The paper looks at youth employment programs .	entailment
The other bank pays the fund interest based upon tiered account levels , more typical of a large commercial account .	The fund account has five different tiers .	neutral
The other is retrospective and intended to help those who review case study reports to assess the quality of completed case studies .	It is made to help the reviewers assess the quality of the case studies .	entailment
The cuts will take the biggest bite out of Land of Lincoln , a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction , access to Social Security and obtaining orders of protection from abusive spouses .	Lawyers in the network will receive a billion dollar increase to their budgets .	contradiction
MC2000-2 , was initially considered and recommended by the Commission under the market test rules .	MC2000-2 was not recommended by the Commission .	contradiction
Energy-related activities are the primary source of U.S. man-made greenhouse gas emissions .	Producing cars is the main source of US greenhouse gas emissions .	contradiction
ENVIRONMENTAL PROTECTION AGENCY	Agency which is responsible for the protection of the environment and the maintaining of national parks .	neutral
However , the WRAP States may unanimously petition the Administrator to determine that the total emissions of affected EGUs are reasonably projected to exceed 271,000 tons in 2018 or a later year and to make affected EGUs subject to the requirements of the new WRAP trading program .	The WRAP States may unanimously petition the Administrator to determine that the total emissions of affected EGUs are reasonably projected to not exceed 271,000 tons .	contradiction
From the inventories of the initiatives they developed in response to our request , we asked agency officials to identify those agency components and initiatives that , in their view , had successfully involved and empowered employees .	Agency officials need to identify the components that helped them .	entailment
eThe number of deletions was negligible .	Number of deletions was insignificant .	entailment
The other bank pays the fund interest based upon tiered account levels , more typical of a large commercial account .	The fund collects a flat interest rate from the bank .	contradiction
and these comments were considered in formulating the interim rules .	The interim rules were put together in a manner that satisfied everyone as a result .	neutral
General Accounting Office , A Model of Strategic Human Capital Management , GAO-02-373SP ( Washington , D.C. : Mar .	The GAO is not a model of strategic human capital management .	contradiction
Many are based on industry-recognized models such as the Constructive Cost Model ( COCOMO ) , PRICE , Putnam , and Jensen .	None of the models are based on the industry-recognised ones .	contradiction
There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	The research that went into this report is potentially faulty .	entailment
It must also report the information to the employee 's home agency promptly to facilitate disbursement of pay by the home agency .	The home agency will take care of the financial aspects .	entailment
Sales of goods and services in undercover operations .	Goods and Services are sold by undercover agents..	entailment
Further , given the dynamic environment agencies face , employees need incentives , training , and support to help them continually learn and adapt .	Operating conditions change over time and it is important to ensure that employees receive resources geared toward preparing them to face changes .	entailment
Introduction	The line considered is referencing the conclusion of a given work .	contradiction
Conversely , an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates .	Interest rates should increase to increase saving .	contradiction
As of last week he charges $ 50 an hour minimum instead of $ 25 for the services of his yearling Northern Utah Legal Aid Foundation .	His charges went down .	contradiction
Also , under credit reform , the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed .	When a direct loan is disbursed , the credit subsidy cost will be recorded as an outlay under the reform .	entailment
We 'll be the first to admit we make mistakes , but most of those are bureaucratic .	We never make mistakes .	contradiction
Model yields an estimate of the percentage change in a household 's demand for postage as a result of owning a computer	There is a change in the use of postage depending on whether a household owns a computer .	entailment
The FDA solicited comments on these requirements in the notice of proposed rulemaking and has evaluated and responded to them in the preamble to the final rule .	The FDA did not seek out comments on these requirements regarding the proposed rulemaking .	contradiction
Load time is divided into elemental and coverage related load time .	Load time is comprised of three parts .	contradiction
All requests to provide live testimony at one of the two public hearings were granted .	All request by people seeking to provide live testimony were granted .	entailment
The Indigenous Project , a new program run by the Oregon Law Center , is one of only a handful of places in the United States where indigenous farmworkers from Mexico and Central America can find free and confidential legal aid .	The Indigenous Project is run by the Oregon Law Center .	entailment
On a scale of 0 ( strongly disagree ) to 7 ( strongly agree ) the statement alcoholics are difficult to treat received a mean score of 6.25 , and the statement alcoholism is a treat-able disease received a mean score of 5.27 .	Alcoholics are only difficult to treat if they are angry when intoxicated .	neutral
For such a governmentwide review , an entrance conference is generally held with applicable central agencies , such as the Office of Management and Budget ( OMB ) or the Office of Personnel Management .	An entrance conference is held with central agencies each year .	neutral
It 's very hard to believe , for anyone who knows me well , but I was actually speechless for a period , Zelon said .	Zelon admitted to being speechless .	entailment
Kentucky officials say there is a virtual epidemic of abusive relationships in the state .	Kentucky has the highest rate of domestic abuse .	neutral
Conversely , an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates .	Upward pressure is put on interest rates when government saving is increased .	contradiction
Although , in this case the equipment did not have to be erected adjacent to an operating boiler , the erection included demolishing and erecting a complete boiler island and demolishing the existing electrostatic precipitator .	Although it was unnecessary , some of the equipment was adjacent .	neutral
The central features of the Results Act-strategic planning , performance measurement , and public reporting and accountability-can serve as powerful tools to help change the basic culture of government .	The Results Act has strategic planning as a central feature .	entailment
All the steps of data reduction and coding are described , along with the basis for transformations in these steps .	The transformations between steps are explained .	entailment
First , the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request .	They process the written request the day it is received .	neutral
EPA estimates that 5.6 million acres of lakes , estuaries and wetlands and 43,500 miles of streams , rivers and coasts are impaired by mercury emissions .	Rivers , streams and coasts are affected by mercury emissions .	entailment
This site provides information links , tools , and resources developed for the benefit of the audit profession , including audit programs , best practices , and research services .	This site is a special portal for people who wish to make anonymous complaints about auditors .	contradiction
Executives do so by examining their internal environments and asking a series of questions about the problems that need fixing , how information technology and management can help , and how a CIO might best fit within their management structures to guide technology solutions .	A CIO should guide technology solutions based on a company 's internal environment .	entailment
GAO also issued over 160 reports detailing specific findings and made over 100 recommendations to agencies and to the President 's Council on Year 2000 Conversion for improving the government 's readiness .	The GAO issued roughly 170 reports about specific findings .	neutral
Analytical Perspectives .	Perspectives can be analytical	entailment
We must re-examine the base , including our current human capital policies and practices .	We have to look at the base again .	entailment
Thus , the imbalance in the volume of mail exchanged magnifies the effect of the relatively higher rates in these countries .	There is more mail coming in than going out .	neutral
The following are examples of how teams were used in the agency initiatives we reviewed .	We reviewed how teams were used in the initiatives .	entailment
Act Accounting the Great Management Reform Act	Management reform is needed	neutral
Using a threestep development planning process , managers assess their current capabilities , determine their specific development needs , and build and execute a development plan .	The threestep planning process examines years of development , even though the number of steps is low .	neutral
Audit committees should not only oversee both internal and external auditors , but also be proactively involved in understanding issues related to the complexity of the business , and , when appropriate , challenge management through discussion of choices regarding complex accounting , financial reporting , and auditing issues .	Audit committees are not concerned with the oversight into internal and external auditors .	contradiction
At that event , legal services personnel , court personnel , and other technology experts saw demonstrations by four companies on their products , and assessed their utility for preparing pro se documents .	Legal services personnel saw product demonstrations .	entailment
Text box 4.1 describes how the NIPA and unified budget concepts differ .	Text box 4.1 is the only place where you can find out about the differences between NIPA and unified budgets .	neutral
What the judge really wants are the facts -- he wants to make a good decision , he said .	In the end the judge made a bad decision since he imprisoned someone innocent .	neutral
evaluation questions .	There are evaluation questions on the topic .	neutral
the net cost of operations .	That 's how it expensive it runs .	entailment
Clearly , GAO needs assistance to meet its looming human capital challenges .	GAO may need to ease up on some of their superfluous restrictions unrelated to job performance .	neutral
If the difference between these two prices is large enough , the mailer could hire a trucking firm , as discussed above .	It is very easy for the mailer to hire a trucking firm .	neutral
4 million , or about 8 percent of total expenditures for the two programs ) .	about 2 million is equal to 8 percent of expenditures .	contradiction
The analysis presented here is an attempt to address the second argument .	The second argument is addressed in this analysis .	entailment
Another quarter billion plus dollars of the total amount sought was earmarked to pay down operating debt accrued in past years .	Another quarter billion dollars or more was earmarked to pay bonuses .	contradiction
To provide a common understanding of what is needed and expected in information technology security programs , NIST developed and published Generally Accepted Principles and Practices for Securing Information Technology Systems ( Special Pub 800-14 ) in September 1996 .	No common understanding of what is needed and expected in information technology security programs has been established .	contradiction
In most methods , we plan for data collection , then we collect the information , then we analyze it , and then we write the report .	data collection is not planned for .	contradiction
Tabulations of actual meetings and of consequent actions for same-agency funded and different-agency funded services can help check out whether this impression is reliable .	The reliability of impressions simply ca n't be measured by tabulating meetings to any degree .	contradiction
On a scale of 0 ( strongly disagree ) to 7 ( strongly agree ) the statement alcoholics are difficult to treat received a mean score of 6.25 , and the statement alcoholism is a treat-able disease received a mean score of 5.27 .	The scale being set on alcoholics being difficult to treat is from 0 to 7 .	entailment
The technology used to capture and evaluate information in response to the RFP permits LSC to compile and assess key information about the delivery system at the program , state , regional , and national level .	The technology that evaluates information from the RFP allows the LSC to compile information about delivery systems .	entailment
This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996 .	The Enhanced Carrier Route was canceled in 1995 .	contradiction
We saw a whole new model develop - a holistic approach to lawyering , one-stop shopping , she said .	She mentioned approaching the law with a holistic approach/	entailment
For such a governmentwide review , an entrance conference is generally held with applicable central agencies , such as the Office of Management and Budget ( OMB ) or the Office of Personnel Management .	An entrance conference is held with specialized agencies .	contradiction
The H-2A worker must depart the country and is subject to deportation for failing to do so .	The H-2A worker is being forced to leave the country .	entailment
The panels are to collect advice and recommendations from representatives of affected small entities as part of their deliberative process .	The panels do not need to collect anything from the representative of the affected small entities .	contradiction
These runs could cost far more than the value of the small improvement in service .	The runs would cost $ 36,000 .	neutral
The activities included in the Unified Agenda are , in general , those expected to have a regulatory action within the next 12 months , although agencies may include activities with an even longer time frame .	Regulatory actions can take place within any of the next 12 months .	entailment
LASNNY is one of the oldest and most cost-effective legal services organizations in the United States .	LASNNY is an new legal services organization .	contradiction
8 A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product , while a stoichiometry of 1.05 is needed to produce waste suitable for a landfill .	A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product	entailment
This site includes a list of all award winners and a searchable database of Government Executive articles .	All of the award winners are listed on the site .	entailment
Its scorecard included measures for accuracy , speed and timeliness , unit cost , customer satisfaction , and employee development and satisfaction .	Accuracy and speed were included measurements on the scorecard .	entailment
A student visa overstayer is not going to be a high priority for pro bono assistance .	Overstaying a student visa will make pro bono assistance difficult .	entailment
For a review of the literature , see William G. Gale and John Sabelhaus , Perspectives on the Household Saving Rate , Brookings Papers on Economic Activity ( 1:1999 ) , pp . 181-224 .	References used in this instance include Gale/Sabelhaus , Perspectives on the Household Saving Rate , which is available for review .	entailment
Even after we hire good people , we need to take steps to retain them .	It 's necessary to do what 's needed to retain good people even after they get hired .	entailment
This site includes a list of all award winners and a searchable database of Government Executive articles .	The Government Executive articles include profiles of notable government employees .	neutral
One possible explanation is that surging household wealth in recent years contributed to the virtual disappearance of personal saving .	People are putting what would 've been their personal savings into displays of wealth more often in recent years .	neutral
In this situation , the value to the mailer of the improved service would be considered along with the cost of doing the work .	The cost of work and the value of improved service would be considered in this situation .	entailment
Lalley also is enthused about other bar efforts on behalf of the poor , most notably the Legal Assistance Center will operate out of the new courthouse .	The poor are also enthusiastic about the bar 's help towards them .	neutral
And , could it not result in a decline in Postal Service volumes across -- the -- board ?	Is it possible there would be a decline in all the Postal Service volumes ?	entailment
Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses , and it is thought , but not known , that a lesser percentage of possible deliveries on rural routes are businesses .	We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses , is because of the fact that people prefer living in cities rather than rural areas .	neutral
Unless the report is restricted by law or regulation , auditors should ensure that copies be made available for public inspection .	Under no circumstances should auditors ever ensure that copies will be made available .	contradiction
Several of the organizations had professional and administrative staffs that provided analytical capabilities and facilitated their members ' participation in the organization 's activities .	Organizations did n't care about members ' participation .	contradiction
It also describes the results of the scenario analysis , both in terms of the various marginal costs associated with emission control strategies and the economy-wide impact of each scenario .	It includes no description of what impacts or price will be exacted by emission control strategies .	contradiction
The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities .	The rules place a high burden on the activities of small entities .	contradiction
2.5 Financial audits are performed under the American Institute of Certified Public Accountants ' ( AICPA ) generally accepted auditing standards for field work and reporting , as well as the related AICPA Statements on Auditing Standards ( SASs ) which interpret the standards and provide guidance on conducting such work .	The AICPA makes financial audits with generally accepted standards .	entailment
You wonder what youre going to be when you grow up , lawyer Smith said .	You want to be a lawyer when you grow up .	neutral
While documenting the basis for judgments can be more difficult than documenting nonjudgmental information , overall the chain of evidence or audit trail techniques should not pose any greater difficulty for GAO evaluators than our documentation procedures for other evaluation methods .	GAO evaluators should not have much more difficulty with the chain of evidence .	entailment
Charles Geveden has introduced legislation that will increase the Access to Justice supplement on court filing fees .	Charles Geveden initiated a law that will essentially lower court filing fees .	contradiction
The two programs are currently housed in buildings about a block apart .	The two buildings are on opposite sides of the city .	contradiction
WHOLE LIFE POLICIES - Policies that provide insurance over the insured 's entire life and the proceeds ( face amount ) are paid only upon death of the insured .	A whole life policy is the best choice for someone who expects to live to the age of 90 .	neutral
On the second point , Judge Newton said in a recent interview , I 've heard this complaint a hundred times .	Judge Newton had never heard that complaint before .	contradiction
He also has a private practice .	He has private practices as well .	entailment
Agencies may perform the analyses required by sections 603 and 604 in conjunction with or as part of any other agenda or analysis required by other law if such other analysis satisfies the provisions of these sections .	There are many times when the agencies have gotten in trouble .	neutral
These provisions may have to be reexamined as well .	These provisions do not require examination .	contradiction
The Commission 's analysis uses both quantifiable and general descriptions of the effects of the rule on small entities .	The rule has a significant effect on small entities .	neutral
Two , most other productive operations are easier to study and understand , since few firms have 40,000 locations and a large proportion of their workforce working outdoors .	There are n't a lot of firm that can boast 40,000 different workplace locations .	entailment
The company later told us that it had discontinued the program because of its adverse effect on employee morale .	The company later told us that it had discontinued the program because low morale hurts productivity .	neutral
In the first instance , IRS would have no record of time before the person could get through to an agent and of discouraged callers .	There is no recording of the time for callers .	entailment
Even though national saving remains relatively low by U.S. historical standards , economic growth in recent years has been high because more and better investments were made .	Americans only save 1 % of their income .	neutral
The National Association of State Information Resource Executives ( NASIRE ) represents state chief information officers ( CIO ) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships , information sharing , and knowledge transfer .	The NA SIRE does a lot of work with charities .	neutral
The third row of Exhibit 17 shows the Krewski , et al .	Exhibit 17 has 2 rows .	contradiction
Strategic human capital management must be at the center of this transformation effort .	Human capital management is extremely important	entailment
Last year at Tuscaloosa 's Turning Point Domestic Violence Sexual Assault Services , half of the 160 women who sought shelter used Legal Services , said executive director Kathy Benitez .	Half of the 160 women who sought shelter used the Legal Services .	entailment
Since the system would automatically verify all receipts and acceptances prior to invoice payment authorization , there would be no need to authorize payment prior to verification of receipt .	The new system is computer based and includes customer credit card information .	neutral
It is truly an honor .	It is an honor .	entailment
So far , however , the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume .	The amount of mail lost is too smal to leave an impact on volume	entailment
But even managers who try to stay alert to these forces often gather their information anecdotally or informally .	Managers often gather their information anecdotally or informally .	entailment
The Leland Act ( 1 ) simplify the household definition	The Leland Act defines the legal definition of what a household is .	neutral
The program covers those units covered by the new nationwide sulfur dioxide trading program that are located in the States in the WRAP and that , in any year starting in 2000 , emit more than 100 tons of sulfur dioxide and are used to produce electricity for sale .	The program covers units covered by the nationwide sulfur dioxide trading program as well as those who like to watch television	neutral
I do n't know what I would have done without Legal Services , said James .	James said Legal Services helped him with his divorce .	neutral
Any subsequent alterations to the data can be readily detected .	Special permissions are required to alter the data .	neutral
Base year data will be actual receipt and outlay data for the last completed fiscal year	Base year data will not give any findings about the last completed fiscal year .	contradiction
Table 2 : Examples of BLM 's , FHWA 's , IRS 's , and VBA 's Customer Satisfaction Expectations for Senior Executive Performance	Senior Executives do not care about the customer satisfaction .	neutral
Table 2 : Examples of BLM 's , FHWA 's , IRS 's , and VBA 's Customer Satisfaction Expectations for Senior Executive Performance	BLM 's , FHWA 's , IRS 's , and VBA 's are the only companies that were studied .	neutral
appropriate agency representatives , help resolve	the right agency employees , help fix	entailment
In this situation , the value to the mailer of the improved service would be considered along with the cost of doing the work .	The mailer 's perceived value of the improved service will be considered .	entailment
Prior to 1986 , the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets .	The US was n't a net creditor until after 1986 .	contradiction
Hamon said the proposed bill has attracted a number of co-sponsors , and Legal Aid backers are hoping to get it passed in the upcoming legislative session .	The proposed bill would make Legal Aid accessible to more people .	neutral
1 Lower and upper PMSD bounds were determined from the 10th and 90th percentile , respectively , of PMSD data from EPA 's WET Interlaboratory Variability Study ( USEPA , 2001a ; USEPA , 2001b ) .	The data obtained from the EPA 's WET Interlaboratory Variability Study was considered the most reliable and therefore used to establish the upper and lower PMSD bounds .	neutral
Even if the entire unified surplus were saved , GDP per capita would fall somewhat short of the U.S. historical average of doubling every 35 years .	Even if the entire unified surplus were lost , GDP per capita would fall somewhat short of the U.S. historical average of doubling every 35 years .	contradiction
medical and surgical expense coverage .	The expenses covered mentioned only pharmaceutical	contradiction
The good news , however , can be found in reports like this one .	This report contains only bad information and should be destroyed immediately .	contradiction
The loss of technical competence through downsizing was sufficiently pervasive that FFC , in conjunction with TBR and the NAVFAC , conducted the Government/Industry Forum on Capital Facilities and Core Competencies in March 1998 .	The FFC conducted the Government/Industry Forum in March 1998	entailment
REESTIMATE -Refers to estimates of the subsidy costs performed subsequent to their initial estimates made at the time of a loan 's disbursement .	Reestimate is a term that deals with estimates .	entailment
INTEREST RATE - The price charged per unit of money borrowed per year , or other unit of time , usually expressed as a percentage .	Interest rate is defined as the total amount of money borrowed .	entailment
On the Use of Generalized Additive Models in Time-Series Studies of Air Pollution and Health .	A series of studies on pollution and it 's effects .	entailment
Coast Guard rules establishing bridgeopening schedules ) .	The Navy creates bridgeopening schedules .	contradiction
Agencies may perform the analyses required by sections 603 and 604 in conjunction with or as part of any other agenda or analysis required by other law if such other analysis satisfies the provisions of these sections .	The agency is free to decide not to perform the analyses covered in section 603 .	contradiction
Regulation and the Nature of Postal Delivery Services , Ed .	There is no regulation of the postal delivery service .	contradiction
OMB issued the guidance in Memorandum M0010 , dated April 25 , 2000 .	Memorandum M0010 was issued by INS .	contradiction
Among runners-up is Boston solo Eleanor Newhoff .	Eleanor Newhoff had trained hard for the Olympic triathlon .	neutral
For this report , we provide an overview of the major theories about why people save and describe various factors associated with the decline in personal saving .	People save because they would like to someday own an expensive boat .	neutral
( j ) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from Spain and do not travel .	contradiction
We did not study the reasons for these deviations specifically , but they likely result from the context in which federal CIOs operate .	The context of federal CIOs may cause specific deviations .	entailment
, number of parks or acres of land ) rather than in terms of historical cost .	Land owned by parks does not have a value .	contradiction
Recommendations	dislikes	contradiction
The results of even the most well designed epidemiological studies are characterized by this type of uncertainty , though well-designed studies typically report narrower uncertainty bounds around the best estimate than do studies of lesser quality .	All studies have the same amount of uncertainty to them .	contradiction
36 AC usage nationally for mercury control from power plants should be roughly proportional to the total MWe of coal-fired facilities that are equipped with the technology ( this assumes an average capacity factor of 85 percent and other assumptions of Tables 4-4 and 4-5 ) .	AC usage for mercury control should be related to total coal facilities MWe .	entailment
Each state is different , and in some states , intra-state regions differ significantly as well .	All states are exactly the same .	contradiction
made by the FCIC based on such comments are discussed in the preambles to the final rules .	Discussed in the preamble are comments based on FCIC .	entailment
These adaptations are not uniformly valued .	Adaptions are n't always valued	entailment
Many users commented on the effectiveness of the new technology in promoting closer relationships among providers .	They were disappointed to hear the consumer complaints .	contradiction
Therefore , many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization 's business objectives .	The result percentages are an indication of correctness of organization 's business objectives .	entailment
Founded in 1979 , AFFIRM 's members include information resource management professionals within the federal , academic , and industry sectors .	AFFIRM was founded in the early 2000s .	contradiction
Since the system would automatically verify all receipts and acceptances prior to invoice payment authorization , there would be no need to authorize payment prior to verification of receipt .	There would be no need to pre-approve payments because the new system would automatically verify all receipts .	entailment
The standard technology assumptions of scenario A were used by EIA in the development of the AEO2001 reference case projections .	EIA used the standard technology assumptions to eliminate the AEO2001 reference case projections .	contradiction
While the Freedom of Information Act , the Trade Secrets Act , and other statutes may generally protect certain categories of information from disclosure by an agency to the public , this protection does not justify withholding the information from GAO .	The GAO should know all information to prevent fraudulent politicians and officers .	neutral
Thus , the net scale benefit is initially positive , whether or not we adjust for the wage premium .	Initial net scale benefits are negative when adjusted for the wage premium .	contradiction
Total volume grew 13 .	There was an increase in volume of 13 .	entailment
Participants generally viewed the new internal control reporting requirements of the Sarbanes-Oxley Act of 2002 as a good requirement .	The Sarbanes-Oxley Act of 2002 focused mainly on SEC filings , and ignored internal controls and reporting completely .	contradiction
Other examples of cumulative case studies come from two international agencies .	There are examples given by UNICEF and Doctors without Borders .	neutral
However , assuming the procedural requirements of Chapter 36 are met , changes negotiated by the Postal Service and a mail user for their mutual benefit may merit recommendation under the applicable statutory standards .	Changes negotiated by the Postal Service and a mail user for their mutual benefit wo n't merit recommendation under the applicable statutory standards .	contradiction
The technology used to capture and evaluate information in response to the RFP permits LSC to compile and assess key information about the delivery system at the program , state , regional , and national level .	The technology that evaluates information from the RFP allows the LSC to compile information about delivery systems , though not very well .	neutral
In these cases , participants risk losing not only their jobs but also a significant portion of their retirement savings if their company files for bankruptcy .	Participants who have worked at the company for less than 4 years are at a higher risk of losing their job during bankruptcy .	neutral
The organizations usually allowed individual members who had changed employers to continue participation .	The organizations usually got angry at people for leaving .	neutral
( j ) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	Frequent flyer miles are one of the promotional items a member can receive .	neutral
HCFA published a Notice of Proposed Rulemaking on March 28 , 1997 ( 62 Fed .	HCFA decided to keep it a secret when they proposed rules .	contradiction
Recent SAB deliberations on mortality and morbidity valuation approaches suggest that some adjustments to unit values are appropriate to reflect economic theory ( EPA-SAB-EEAC-00-013 , 2000 ) .	Adjustments can never be made to mortality valuation .	contradiction
Kentucky officials say there is a virtual epidemic of abusive relationships in the state .	There is a lot of domestic abuse in Kentucky .	entailment
In addition , because funding is secured on an	In addition , because funding is n't secured on an	contradiction
Although the accounting and reporting model needs to be updated , in my view , the current attest and assurance model is also out of date .	The accounting model needs to be updated in addition to the assurance model .	entailment
These rules were not used extensively .	The rules were unfair to the employees .	neutral
The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones .	The stresses affected people much diffferently than the researchers expected .	contradiction
PROGRAM ACCOUNT -The budget account into which an appropriation to cover the subsidy cost of a direct loan or loan guarantee program is made and from which such cost is disbursed to the financing account .	Financing accounts are used to fund day to day operations .	neutral
Its scorecard included measures for accuracy , speed and timeliness , unit cost , customer satisfaction , and employee development and satisfaction .	Unit cost is not a measurement listed on the scorecard .	contradiction
As a professional courtesy , GAO will inform requesters of substantive media inquiries during an ongoing assignment .	It is rare for GAO to do something as a professional courtesy .	neutral
A niche incumbent might provide delivery less frequently or to a subset of possible stops .	It might be possibly to make less frequent deliveries .	entailment
One large multinational corporation uses atechnical facilitators- to support its initiatives .	Some corporations use atechnical facilitators .	entailment
In short , this is a whole new costing area that would need to be undertaken .	In a nutshell , this new costing area would need to be undertaken .	entailment
We have done that spectacularly .	The end results of our work was dismal and disappointing .	contradiction
Summary of Deferred Maintenance as of September 30 , 199Z ( in Millions of Dollars ) :	There was no deferred maintenance .	contradiction
However the Postal Service did provide as much detail as is collected a volume distribution by transportation mode and shape for sixty individual countries .	The Postal Service failed to provide as much detail .	entailment
