sentence1	sentence2	label
Did the ancestors of the Indians really come from Asia over the Aleutian land bridge ?	The Indians ancestors likely traveled in groups of 100 over the Aleutian land bridge .	neutral
You have to have good peripheral vision and you have to really concentrate .	If one get 's distracted , it 's very easy to make a fatal mistake .	neutral
Most pundits side with bushy-headed George Stephanopoulos ( This Week ) , arguing that only air strikes would be politically palatable .	Pundits disagree with George Orwell as they do n't support his writing of `` 1984 '' .	neutral
She was alone at last with the president !	At last , she has been alone with the president ! I envy her .	neutral
Another alternative is that our heroes were pursuing the noble goal of academics everywhere -- tenure .	Our heroes are going after their academic goals .	entailment
If there was a bit of Fuller in Leonardo , there was also a bit of Liberace in this theatrical , high-living dandy who favored brocade doublets and bad boys with pretty faces .	Leonardo 's character was based on the lifestyle of Liberace .	neutral
3 ) Dare you rise to the occasion , like Raskolnikov , and reject the petty rules that govern lesser men ?	Would you sit back and watch the world burn ?	contradiction
First , injected cannabinoids may not mirror the effects of smoked marijuana .	Smoking marijuana gets people higher than injected them with cannabinoids .	neutral
An overall increase in prices is only possible when there has been an overall increase in the amount of money in circulation .	Price hikes are only possible if there is more money in circulation .	entailment
4 ) Clinton 's job rating fell from 60 to 55 points in a Washington Post poll , apparently because pollees disapproved of his use of the White House for fund raising .	Pollees down-rated Clinton by up to 5 points .	entailment
Weicker has yet to declare his intentions .	Weicker 's intentions have not been declared yet .	entailment
You claw your way into a position to get your calls returned by actually breaking stories , but that reward is empty .	The rewards are very fulfilling if you break stories .	contradiction
This points to a final press-friendly quality of McCain ' brilliant flattery .	This leads to a final press-friendly quality of McCain ' brilliant flattery .	entailment
It is extremely dangerous to Every trip to the store becomes a temptation .	There are dangerous temptations regarding going to the store .	entailment
Kutchins and Kirk cite a particularly amusing example of such Robert Spitzer , the man in charge of DSM-III , was sitting down with a committee that included his wife , in the process of composing a criteria-set for Masochistic Personality Disorder -- a disease that was suggested for , but never made it into , the DSM-III-R ( a revised edition ) .	DSM-III-R is a book of personality disorders .	neutral
I hate pigeons .	Pigeons are cute and adorable .	contradiction
To the sociologists ' speculations , add mine .	Add my speculation to the sociologists ' , said the old man .	neutral
A profile crowns Chris Rock The Funniest Man in America .	A profile crowns Chris Rock the Funniest Man in America , but many disagree .	neutral
Sixty percent of Americans are frustrated and angry with the health-care system , and 70 percent favor federal intervention .	Most Americans want to see major changes in the health-care system .	entailment
Meanwhile , a site established for the WorldAid '96 Global Expo and Conference on Emergency Relief , which took place last fall , gives you a firsthand glimpse of the frequently crass world of the relief business ( note the long list of commercial exhibitors in attendance ) .	WorldAid had a GLobal expo in 2002 .	neutral
I have a situation .	This situation may be good or bad .	neutral
What and who will they tax ?	They will tax many people , but whom ?	neutral
People make two justified complaints about our Slate 60 ranking of America 's largest contributors to charity .	Slate 60 ranks American charity recipients .	contradiction
Spock did not cure American mothers and fathers of their impossible dream of being professional parents equipped with the developmentally correct answers .	American parents often dream of being professional parents .	entailment
This confluence of a bad tax , a $ 1 billion reserve , a botched opposition campaign , and voters willing to call a bluff resulted in the I-695 victory .	The I-695 victory was the result of a botched opposition campaign and votes willing to call a bluff .	entailment
Tom is the winner of a year 's supply of Turtle Wax , and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year 's supply .	Tom is the winner of this years contest .	entailment
[ W ] omen mocking men by calling into question their masculinity is also classified as sexual harassment , the paper added .	Men possess some degree of masculinity , but it can be called into question .	neutral
All of our many earnest experiments produced results in line with random chance , they conclude .	The experiments proved that it was no different that random chance .	entailment
Gary Oldman turns himself into some sort of gigantic hominid-bat creature and flaps about in Dracula . The Vampire Master in John Carpenter 's Vampires can fly down the road fast enough to catch a speeding car and can stick to the ceiling of a motel room .	Oldman was just a man in the production .	contradiction
The policy succeeded , and I was fortunate to have had the opportunity to make that contribution to my people .	The policy failed and I am glad to have not helped my people .	contradiction
13-year-olds .	Young teenagers	entailment
Release 2.0 : A Design for Living in the Digital Age , by Esther Dyson ( Broadway Books ) .	Esther Dyson has never published a book with Broadway Books .	contradiction
( It may resemble Dungeons & amp	It could look like Dungeons and	entailment
The universal credibility problem with polling is that wordsmithing and mathematics do n't mix , and never will .	Mathematics is the most important aspect of polling .	neutral
High Crimes is painfully shoddy , even for a book rushed to press .	High Crimes was carefully written and was not rushed .	contradiction
They 're both excited about it ...	They 're dreading it .	contradiction
Sue me , Royko wrote .	Sue me Royko wrote .	entailment
Slate could have put someone with a reasonable grasp of elementary finance and a balanced viewpoint in charge of writing a tax piece .	Slate put an expert in charge of writing their tax pieces .	contradiction
In my Crossfire days , I was patronized even by Sam Donaldson .	During Crossfire , even Sam Donaldson patronized me .	entailment
The sacred is not mysterious to her .	The woman is very religious .	neutral
[ W ] e have a book worthy of its subject -- graceful , astonishingly well researched , yet imbued with a sense of flow that is rarely achieved at this level of scholarship , says Daphne Merkin in the New York Times Book Review . ( See Sarah Kerr 's review in Slate . )	The woman claimed that the book was very well done with it 's research .	entailment
The strangest role reversal is going on right now and concerns democracy itself .	The role reversal concerning democracy is a net positive .	neutral
( Read Slate 's on how Bush flaunts the courage of his cliches .	Slate talks about how Bush is ashamed of his cliches .	contradiction
We have heard , seen this pattern before .	This pattern is familiar to us .	entailment
Wacky Tangent of the Washington Week in Review host Ken Bode scolded the New York Times Magazine for a Nov. 9 fashion spread he said endorsed the now-discredited fashion trend of heroin chic .	Ken Bode hosts Wacky Tangent .	entailment
Miller claimed the First Amendment ( right to freedom of speech and association ) rather than taking the Fifth ( right against self-incrimination ) .	They wanted to make their voice heard .	entailment
To their good fortune , he 's proving them right .	He is showing that they guessed correctly .	entailment
Recently , however , I have settled down and become decidedly less experimental .	I have lost my experimental nature due to old age .	neutral
I will practice The Look on old French ladies who are happy to have any old look at all , I say , and then , as I get the hang of it , move gradually into the big leagues .	I do not need to practice the look .	contradiction
While parents may pick up this gay semaphore , kids are n't likely to .	Some kids do understand gay signals .	neutral
His diet was of wheaten bread ,	He only ate vegetables , fruits , nuts and lots of meat .	contradiction
Bill Clinton has developed a rhetoric and a series of positions that span this divide .	Bill Clinton is n't doing anything on the divide .	contradiction
Horwitz makes us see that the pinched circumstances of their lives are not so different from the conditions of their ancestors , dirt-poor yeoman farmers who seldom saw , much less owned , a slave .	Their lives are much better than their ancestors .	contradiction
Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages .	After the Vatican II , Catholicism became less insular in its focus .	entailment
The baker was not jolly .	The baker was n't very cheerful because he was sick .	neutral
He and his associates were n't operating at the level of metaphor .	The associates were not at level at the metaphor .	entailment
Yes , Elizabeth Taylor , Norman Mailer , Warren Beatty , David Rockefeller , and Mick Jagger will go to a nightclub , but only if they are reasonably certain that Diana Ross , William F. Buckley Jr. , Salvador Dali , Betty Ford , Frank Sinatra , Mikhail Baryshnikov , and the king of Cyprus will show up too -- and vice versa .	A group of celebrities will be at the nightclub as long as another specific group is there .	entailment
Lucy screamed , I 've got to know .	Lucy wanted to ignore it .	contradiction
She gave the girl clothes and gifts and took her to her Connecticut estate for weekend pony rides , according to the Star . How was I supposed to compete with that ?	She gave the girl clothes , gifts and pony rides . That 's hard to compete with .	entailment
The center had become a hodgepodge of unconnected programs -- a day-care center , a library , a nonviolence training school .	The library was good for the community .	neutral
Given the limits on the WTO 's jurisdiction , it was probably unreasonable of Kodak to expect a real victory .	It likely was irrational for Kodak to look forward to a true victory .	entailment
His authoritarian rule has prevented the emergence of future leaders and the development of strong civic and political institutions .	His rule is out of the norm and troubling .	neutral
But there are two kinds of the pleasure of doing , and the pleasure of not doing ; the pleasure of indulging , and the pleasure of abstinence .	There is only one basic form of pleasure .	contradiction
Black professionals braid their hair to display their ethnic pride .	Blacks proudly braid their hair , sad the black woman .	neutral
Everybody has this quote from NBA commissioner David You can not strike your boss and still hold your job -- unless you play in the NBA .	NBA commissioner said NBA opens more possibilities than other jobs	contradiction
They should have him be just a disembodied voice .	To be more effective with children , he should never be seen .	neutral
The director , Michael Mann , has never tried to tell a story as complex ( or nonviolent ) as The Insider , and he and his co-screenwriter , Eric Roth , do n't shape their narrative very satisfyingly .	Michael Mann directed it .	entailment
The Ovitz deal , however , contained none of these goodies .	The Ovitz deal did contain some alternative goodies .	neutral
Hughes has accomplished this in part by the unusual technique of double ghosting .	He could have just ghosted once .	neutral
( In the short run , higher-income taxpayers may pay more taxes , not less , if a capgains rate cut leads them to sell more assets than they otherwise would have done . )	Richer people might have a tax increase .	entailment
This does n't look good .	This looks really bad .	entailment
and for regular readers who are a bit confused about our schedule ( and who can blame them ? )	who can blame who greatly appreciates our schedule ?	contradiction
( It may resemble Dungeons & amp	It could never look like Dungeons and	contradiction
Chatterbox queried Trudeau about the Dallas Morning News quote .	Chatterbox queried Trudeau about what he said about immigrants .	neutral
Lewis brought to the campaign the same intensity he had trained upon redneck troopers and sheriffs .	Lewis did n't bring anything to the campaign .	contradiction
If you missed the two top stories in yesterday 's USAT -- the government 's first post-deregulation attempt to preserve competitiveness among airlines and the emergence of a drug that can prevent breast cancer -- they are on the NYT 's front today .	These two story are causing an uproar among wide audiences .	neutral
I knew him and liked and respected him .	I knew the man .	entailment
Last year , they were spooked .	They were spooked the past two years .	neutral
This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star Pitiful Helpless Giant , starring former Secretary of State George Shultz .	Star Pitiful Helpless Giant is a show on UPN .	entailment
Because the paper did not say that .	The paper said so .	contradiction
He fell in love with Monica Lewinsky -- and even told her he wanted to be with her when he left office .	He hated Monica and wanted nothing to do with her after leaving the office .	contradiction
David Cope , a professor of music at the University of California at Santa Cruz , claims to have created a 42 nd Mozart symphony .	Professor of Music David Cope claims to have written a 43rd Mozart Symphony .	contradiction
One reason for the high value of MLB teams is the prospect of new , publicly financed ballparks . Owners in Baltimore , Cleveland , Chicago , Denver , and Texas have all reaped major profits from these new facilities , built at little or no cost to the teams .	MLB owners have been able to make at least 10 million in profit from new ballparks .	neutral
But we do n't rule out regulation in the future if industry fails to do a good job of policing itself .	Regulation is a possibility because lawmakers are changing their opinions .	neutral
Click Friedrich Hayek ring to go ...	Clicking will bring you to the next site .	neutral
In the case of speech , Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism , the rights of homosexuals , and regulation of industry is that people are denied access to the opinions and information that would enlighten them .	If people would properly research matters that they do n't understand , they would be better equipped to form opinions .	neutral
Life , unlike Reich 's book , is not a series of morality fables .	Reich is a well-respected author .	neutral
If the face has been getting longer at the bottom over the generations , it has been getting shorter ( and broader ) on top .	The shape of the face changes over the course of generations .	entailment
One wag , J. , wrote in to ask , Is there a difference between pests and airlines ?	J. thinks there is no difference between pests and airlines .	neutral
Fast forward to 1994 and beyond .	Onwards to 1994 and beyond .	entailment
Does anyone know what happened to chaos ?	What happened to chaos ?	entailment
Cop Bud White ( Crowe ) and Ed Exley ( Pearce ) almost mix it up ( 59 seconds ) :	Bud White and Ed Exley almost mix it up .	entailment
The National Football League semifinals are set .	Fans were anxious to hear what dates the semifinals would take place on .	neutral
Two more weeks with my cute TV satellite dish have increased my appreciation of it .	My appreciation of my satellite dish has increased .	entailment
Watergate remains for many an unhealed wound , and Clinton 's critics delight in needling him with Watergate comparisons -- whether to Whitewater or Flytrap .	Clinton is the same person as Whitewater or Flytrap .	contradiction
High Crimes is painfully shoddy , even for a book rushed to press .	Books that are rushed to press are usually shoddy .	neutral
They wo n't be killing off George Clooney 's character at ER like they did to Jimmy Smits at NYPD . Instead , Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy ( Thursday , 10 p.m. ) .	George Clooney will not be getting fired from his TV show .	entailment
Krugman 's column will henceforth be known as The Dismal Science , a phrase too famous to be ownable by anyone , except possibly British essayist Thomas Carlyle ( 1795-1881 ) , who coined it .	Krugman writes novels .	contradiction
His mother died when he was young , and he was adopted by the Brodkeys .	He changed his name to Brodkey when he was adopted .	neutral
The strangest role reversal is going on right now and concerns democracy itself .	There is a role reversal going on in relation to democracy .	entailment
Maybe in that sense , the behavior of the Pippens and Iversons of the world is defensible .	Pippens and Iverson are penguins .	contradiction
It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters .	The telecommuters are grateful for the opportunity to buy the office space .	neutral
Each edition of the DSM is the product of arguments , negotiations , and compromises .	No arguments are made for each edition of the DSM .	contradiction
In Japan , Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy .	Mainichi Shimbun was critical of Keizo Obuchi , the new Liberal Democratic Party Leader .	entailment
In his effort to build nationalism across Turkey in the 1920s , Ataterk instituted a campaign to suppress Kurdish identity that continues today .	Ataterk tried to build nationalism in Turkey during the 1920 's .	entailment
Blessed with preternatural gregariousness , good humor , and a love of attention , he 's been tireless about pursuing both celebrity and the cause of popular history ever since .	He worked very hard to be the top-grossing star in the box office .	neutral
You wake up one bright autumn morning and you 're halfway to the subway when you decide to walk to work instead .	You decide en route to turn west and walk instead .	neutral
Be forewarned that the download takes quite a while via modem .	Downloading this over a modem will take approximately three days .	neutral
We know essentially nothing about life beyond Earth .	We know everything about life beyond Earth .	contradiction
Other pundits beam their opinions at us as through a time warp , from the hazy days of past administrations .	Experts rely heavily on past administrations for examples .	neutral
To make matters worse , many employers looking to save money ( and please their employees ) will drop dependent benefits if states provide better coverage than the private plans now do .	If states provide better coverage than private plans , many employers will drop dependent benefits to save money .	entailment
They were inferior .	They were inferior because they lacked knowledge .	neutral
The idea that Clinton 's approval represents something new and immoral in the country is historically shortsighted .	Clinton 's approval is the result of the country liking the effect that the administration has had on the economy .	neutral
Or just a philosophy of any weapon to hand ?	They do n't allow any weapon .	contradiction
The newspaper publishes just one letter a week from a reader , always with an editorial riposte at the bottom .	Only one letter from readers is published weekly and there is an editorial offered for it .	entailment
The spot does leave the viewer wondering about the rest of the story , and what tale the condom could tell .	The spot leaves the viewer pondering the stories resolution and how the condom fits in .	entailment
There are two challengers to these top dogs .	These top dogs face only one challenge .	contradiction
In Japan , Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy .	Mainichi Shimbun was only concerned with reviving the Japanese economy .	neutral
He 's too cautious .	He is cautious due to a lack of confidence .	neutral
The story of the technology business gets spiced up because the reality is so bland .	Reality is so bland that the garbage business gets spiced up .	contradiction
Per week ?	Every day .	contradiction
Taking an ecumenical tack , nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric .	Nation officials in Chicago are involved in religious issues .	entailment
Pearl Jam detractors still ca n't stand singer Eddie They say he 's unbearably self-important and limits the group 's appeal by refusing to sell out and make videos .	A lot of people consider Eddie to be a bad singer .	neutral
They are the four sentences you always insert in plagiarized papers to throw the professor off track .	These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information .	neutral
And , although I got a Ph.D. in philosophy many years ago and have thought and read about these matters ever since , heaven ( or whatever ) knows I do n't have too many answers that I feel confident about .	Even though I never had formal education in this area , I feel confident I know about it .	contradiction
In 1984 , Clinton picked up rock groupie Connie Hamzy when she was sunbathing in a bikini by a hotel pool .	Clinton was n't afraid to show herself in public in the 80s .	neutral
That is exactly what our head coupon issuer Alan Greenspan did in 1987 -- and what I believe he would do again .	This is what Greenspan did in 1987 and what I think he will do again , much to the detriment of the economy .	neutral
Simmons , probably rap 's greatest entrepreneur , lives in New York ; schmoozes bankers , fashion designers , and record executives ; and cuts deals with conglomerates such as Time Warner .	Simmons lives in New York and schmoozes fashion designers .	entailment
Beatrice and Grace made out OK legally , but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids .	Beatrice was nearly sent to prison for many months .	neutral
This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star Pitiful Helpless Giant , starring former Secretary of State George Shultz .	Star Pitiful Helpless Giant is a show on UPN about politics .	neutral
While parents may pick up this gay semaphore , kids are n't likely to .	Gay kids always recognize gay signals .	contradiction
As for the divisive issue of whether the Mass is a sacrifice for the remission of sins , the statement affirms that Christ 's death upon the cross ...	The matter of whether or not the Mass is a sacrifice for the remission of sins is controversial .	entailment
After criticizing the GOP openly for weeks , Buchanan announced that he would seek the Reform presidential nomination , which would bring him $ 12 million in federal funds .	Buchanan decided to seek the presidential nomination after he had been criticizing the GOP .	entailment
But in fact Haveman and Wolfe 's statistical analysis is designed to rule out this and similar alternative theories , leaving us to conclude that the moves themselves are harmful .	We conclude that the moves are harmful .	entailment
Perhaps tax reform does n't appeal to the new spiritualized side of Bradley .	Bradley do n't have spiritual beliefs .	contradiction
For their part , family-planning organizations and the Clinton administration seem equally adamant .	Family-planning organizations and Pence do n't get along .	neutral
They are all quotations from the Old Testament Book of Aunt Ruth .	None of these are quotations from the Old Testament Book of Aunt Ruth .	contradiction
In this respect , bringing Steve Jobs back to save Apple is like bringing Gen .	Steve Jobs unretired in 2002 .	neutral
Arafat is also ailing and has no clear successor .	Arafat is in good health and has a clear line of succession in place .	contradiction
Another White House murder mystery and a chance to bash the genre .	This is a new angle at White House murder mystery .	neutral
David Cope , a professor of music at the University of California at Santa Cruz , claims to have created a 42 nd Mozart symphony .	Music Professor David Cope who specializes in Mozart 's music claims to have created Mozart 's 42nd symphony .	entailment
I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques ( priced about $ 11 .	There was a discount for the orders I made .	neutral
There are other reasons that wrecks cause fan excitement -- e.g .	Fans are not excited by wrecks .	contradiction
But if you take it seriously , the anti-abortion position is definitive by definition .	Some people take the anti-abortion position very seriously .	neutral
The strangest role reversal is going on right now and concerns democracy itself .	There is not role reversal going on right now in relation to democracy .	contradiction
Also , why Princess Di was like President The public cared more about her empathy than about her actions .	They scared more about empathy than actions .	entailment
Chapter 1 : His real name was Leonard Franklin Slye .	Chapter 1 introduces Albert Einstein .	contradiction
1 ) FBI intelligence files indicate that Democratic fund-raiser Maria Hsia has been a Chinese agent .	Maria Hsia is a Republican fund raiser that the FBI has information on .	contradiction
In our family we have two sons in public life .	Our family has two sons in the public eye .	entailment
We start with the fine review of a shockingly funny comedy about eye disease .	The comedy about eye disease was hilarious .	entailment
In both Britain and America , the term covers nearly everybody .	In both Britain and America the term covers almost everyone except for Israelites .	neutral
Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages .	Vatican II 's changes to Catholicism were borne out of necessity because the church was concerned about losing members .	neutral
A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care .	The henry kaiser foundation shows that people hate their healthcare	contradiction
You have to have good peripheral vision and you have to really concentrate .	It takes extreme focus and a strong awareness of your visual surroundings .	entailment
But if you take it seriously , the anti-abortion position is definitive by definition .	If you decide to be serious about supporting anti-abortion , it 's a very run of the mill belief to hold .	neutral
Bill Clinton has developed a rhetoric and a series of positions that span this divide .	Bill Clinton is working to eventually close this divide .	neutral
My unborn children will never appear on the Today show .	No direct descendent of mine will ever be a guest of the Today show .	entailment
The setting -- wherever it might be -- always seems authentic , not as if it were a Hollywood back lot .	They made sure the setting looked very convincing .	entailment
Two separate , exhaustive shots posted simultaneously ?	The simultaneous posting of the shots is being done to save time .	neutral
The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control , had insisted .	The only comprehensible explanation is that chiropractics had taken control of medicine .	neutral
If the company makes money on the policy , other insurers are expected to follow .	If the company loses money on the policy then other insurers will copy them .	contradiction
Perhaps all we can say of great acting is that it involves assimilation rather than accumulation , that the performer is n't so much a surrogate as a vessel .	A mediocre performer with a lot of roles can still be considered great .	contradiction
Slate could have put someone with a reasonable grasp of elementary finance and a balanced viewpoint in charge of writing a tax piece .	Slate sometimes covers tax issues .	neutral
While obviously constrained by their bondage , blacks nonetheless forged a culture rich with religious observances , folk tales , family traditions , song , and so on .	Clearly are constrained by their folk tales and traditions .	contradiction
Normally , these discussions are kept secret .	These discussions involve a secret plan to take over the world .	neutral
After criticizing the GOP openly for weeks , Buchanan announced that he would seek the Reform presidential nomination , which would bring him $ 12 million in federal funds .	Buchanan was not given the nomination because of his public comments .	neutral
Ricky Martin was filming his triumphant return to the gay porn industry .	Ricky Martin is a gay porn star .	entailment
That would be a tenfold increase in the Internet 's share .	That would cause the Internet 's share to rise by a factor of ten .	entailment
The man who had once come up with a has-been corner skit , in which , as Zmuda recalls , forgotten performers would be sent out to flounder in front of an audience ...	The man designed a skit where popular performers went out and enjoyed total success in front of a crowd .	contradiction
Despite huge projected increases in food production , per capita food consumption in South Asia , the Middle East , and the less-developed nations of Africa will scarcely improve or will actually decline below present inadequate levels .	Some Africans will starve and others will flourish .	neutral
Howard Berman of California , an influential Democrat on the House International Relations Committee .	Howard Berman of California has a lot to be ashamed of .	neutral
I am not aware of any studies comparing the number of words an average person could expect to hear spoken in a typical day 500 years ago vs. the number that can be heard now , but the increase surely is vast .	According to the research I 've seen , the average person hundreds of years ago heard many more words over the course of the day compared to a modern human being .	contradiction
Albino Alligator ( Miramax ) .	Some alligators suffer from albinism .	entailment
New York Times columnist Bob Herbert asserts that managed care has bought Republican votes and that patients will die as a result .	Managed care had nothing to do with the Republican voting .	contradiction
Until the late '60s , the Senate was deferential to the ( many fewer ) presidential nominees .	The Senate was respectful of all eleven nominees .	neutral
Should we invite these young wealthies back to our comparatively humble , small home ?	The wealthies ' have a much larger home than us .	neutral
Bettelheim committed suicide in 1990 , evidently having found life unbearable , despite ( or because of ) his fictions .	Bettelheim killed himself in 1990 .	entailment
He was a pilot , not a platoon leader .	He was a decorated platoon leader with many years of command experience .	contradiction
But the state does arguably have an interest , compatible with the First Amendment , in stipulating the way those media are used , and Fiss ' discussion of those issues is the least aggravating in his book .	Fiss ' argues that the state should have a greater interest in media use .	neutral
Hey , no problem , a fine policy .	No worries , a good policy .	entailment
Can you point me to housewares ?	What aisles are the household goods on ?	entailment
Instead of indulging in the usual teary nostalgia about baseball ( that means you , Ken Burns ) , Will considered it as a craft , explaining exactly why a manager calls a hit-and-run now and not on the next pitch , how a pitcher sets up his fastball , why a shortstop moves in a step for one kind of double play and out a step for another .	Will is such an expert in explaining the details of baseball .	entailment
