sentence1	sentence2	label
Overlapping the others ?	Overlapping the other photos ?	neutral
It will be COLOSSAL ! ''	It will be miniscule .	contradiction
At the top , it bore the printed stamp of Messrs .	The stamp was faded , indicating the package was old .	neutral
'I do n't know what happened , exactly . ' I said .	Something strange was going on .	neutral
But in all probability the girl will have entirely forgotten the intervening period , and will take up life where she left off at the sinking of the Lusitania . ''	The man will remember that period and will take up life where he left it off .	contradiction
My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic , and I was utterly bored .	My last day in Louisian was very exciting .	contradiction
120 `` You do not think I ought to go to the police ? ''	Will the police be able to help ?	neutral
I just stopped where I was .	I continued on my way	contradiction
You see , he said sadly , `` you have no instincts . ''	He said that I had no instincts .	entailment
He jumped up , planting one hand on the charging horse , and came at the brute with the axe .	He swung at the brute with his sword .	contradiction
Bolts of blue and tips of steal .	The bolts were blue .	entailment
The Joint Venture which has so amply justified itself by success ! '' It was drunk with acclamation .	There was no justification for The Joint Venture as it was unsuccessful .	contradiction
Fixing current levels of damage would be impossible .	Fixing the damage could never be done .	entailment
And then I was off , the world exploding behind me .	After I set off the bomb , the world exploded .	neutral
I was to watch for an advertisement in the Times .	I was anticipating an ad in the newspaper .	entailment
Sit down , will you ? '' Tuppence sat down on the chair facing him .	He asked Tuppence to sit on a red chair .	neutral
No , John , I said , `` it is n't one of us .	John did n't know if they were one of us .	neutral
Julius nodded gravely .	Julius nodded solemnly .	entailment
She 's very tired .	She is very tired .	entailment
'But if White has any designs at all on living , he 'll be as far from Little as he can possibly get by now . '	White should be afraid to come back to Little .	neutral
He had n't seen even pictures of such things since the few silent movies run in some of the little art theaters .	There were some art theaters that showed silent movies .	entailment
The Joint Venture which has so amply justified itself by success ! '' It was drunk with acclamation .	The Joint Venture had justified itself by success .	entailment
Small towns like Louisian lay scattered all over the Oil Fields ; the main train line branched between them .	There were a lot of small towns in the oil fields .	entailment
I was soon strong enough to move .	Soon , I could move my legs .	neutral
My brain refusing to command properly .	My brain would do better with some sleep .	neutral
She kept her most important papers in a purple despatch-case , which we must look through carefully . ''	We do n't need to look through the purple despatch-case .	contradiction
Good-bye . '' Julius was bending over the car .	Julius said good bye at the car .	entailment
I 'm sure he 'll be back to work soon enough- it 's only a leg wound , barely broken flesh .	The legs are bandaged and are feeling better .	neutral
Ca'daan felt his skin get hot and unable to come up with any suitable response , moved on .	Ca'daan was freezing !	contradiction
He went down on his knees , examining it minutely , even going so far as to smell it .	He examined it upon his hands and knees .	entailment
Recently I met a guy at a party over at San Barenakedino 's . '	I met a woman a the club in Williamsburg .	contradiction
And far , far away- lying still on the tracks- was the back of the train .	The train was n't moving but then it started up .	neutral
We were playing all sorts of sports , and you were not , so shut up and stop twitching , ' the microbe 's tone of voice changed , it was lower and more resounding .	We have been busy filling out paperwork while you wasted time playing sports .	contradiction
Poor Dave , she said .	She felt bad for Dave , he died a terrible death .	neutral
Both professors soon realized that creating a new language was not an easy task .	Professors realized it was hard to make a new language .	entailment
But it 's for us to get busy and do something . ''	We need to just stay inside and relax .	contradiction
'Best we could hope for . '	Our hopes are dashed .	contradiction
I am due to speak at a meeting at two o'clock .	This afternoon I am due to speak at the meeting .	entailment
Look here , I said , `` I may be altogether wrong .	I was sure I was right .	contradiction
him ? '' she asked .	She asked about him .	entailment
So , which one of you ladies wants to go first .	It is best if a man goes first .	contradiction
And there was me .	There was also me .	entailment
Of course I had a watch kept on Mr. Inglethorp , hoping that sooner or later he would lead me to the hiding-place .	There is no way to tell where he is .	neutral
No . I guess I 'm going too .	I guess I 'm going since my sister is .	neutral
They even smiled at Susan and she smiled back .	They smiled at Susan to warn her of the incoming attackers .	neutral
My usual partner . '	This is my partner I use very seldom .	contradiction
Welts grew on each of the man 's cheeks .	The welts on the man 's cheeks were shrinking .	contradiction
You 've got the keys still , have n't you , Poirot ? I asked , as we reached the door of the locked room .	As we approached I uttered a question .	entailment
I guess he thought you 'd turned up your toes .	I am assuming that he guessed about your situation .	entailment
There are no means of destroying it ; and he dare not keep it .	He will be in trouble if he keeps it .	neutral
It was a splendid life ” I loved it . '' There was a smile on her face , and her head was thrown back .	She said she was very happy about the life she had led .	entailment
Very simply .	Only a little explanation was needed .	neutral
Vrenna looked it and smiled .	Vreanna wore a pleased expression when she saw it .	entailment
Clean shaven , I think and dark . ''	Unshaven , and bright .	contradiction
The man looked at the girl .	The man never noticed the girl was there .	contradiction
Tuppence frowned .	Tuppence 's face showed disapproval .	entailment
He did not immediately recognize Tuppence .	He recognized Tuppence immediately .	contradiction
Not yourself .	Someone else	entailment
And Doctor Perennial just stood there and when the evil drill sergeant woke up in him once again , he received an SMs .	Doctor Perennial was sitting down when the evil drill sergeant walked up to him and delivered a letter .	contradiction
A silver revolver .	There was no gun .	contradiction
Very well ” but it 's all extremely mysterious . We were running into Tadminster now , and Poirot directed the car to the `` Analytical Chemist . '' Poirot hopped down briskly , and went inside .	Poirot sped right past the Analytical Chemist .	contradiction
From his second sight Jon saw San'doro grappling with a much larger man .	San'doro was fighting a strong , dark man .	neutral
'I really do n't feel comfortable around people who enjoy making speeches . '	People who like giving speeches make me uncomfortable .	entailment
From the corner of his eye he saw Jamus look over the broken mare .	Jamus saw the wounded warriors over the mare .	neutral
In the meantime we must send for a doctor , but before we do so , is there anything in this room that might be of value to us ? '' Hastily , the three searched .	The three chose to send for a doctor and ignore the alluring potential treasures .	contradiction
Yes , undoubtedly the hand of Mr. Brown ! Mr. Carter paused .	There is no doubt that hand belongs to Mr. Brown .	entailment
You are sure that you did not in any way disclose your identity ? '' Tommy shook his head .	I wish you had n't revealed your identity , that was a mistake .	contradiction
The chain swung again , hitting her arm and sending the palm knife into the crowd .	The woman was unarmed .	contradiction
I did n't get it at the time . '' The thought saddened him a little , for it seemed to prove that Mrs. Vandemeyer and the girl were on intimate terms .	It was proven that Mrs. Vandemeyer and the girl were hiding something .	neutral
And really it 's a great relief to think he 's going , Hastings , continued my honest friend .	My honest friend expressed gratitude upon hearing that the man would be leaving .	entailment
The air is warm .	The warm air bellows forth from the oven 's open door .	neutral
Said we was a-staying at the inn .	He was staying at the inn .	entailment
Err ... I do n't know .	I know .	contradiction
Ask Cook if she 's missed any . '' It occurred to me very forcibly at that moment that to harbour Miss Howard and Alfred Inglethorp under the same roof , and keep the peace between them , was likely to prove a Herculean task , and I did not envy John .	To keep the peace between Miss Howard and Alfred Inglethorp would be difficult .	entailment
He had never felt better .	He felt very sick .	contradiction
See the idea ? '' 35 `` Then you think '' Tuppence paused to grasp the supposition fully `` that it WAS as Jane Finn that they wanted me to go to Paris ? '' Mr. Carter smiled more wearily than ever .	Mr. Carter had no energy left to continue the conversation .	neutral
It was still night .	It was edging on dark and light , but it was most certainly still not morning .	neutral
Never trust a Sather , Bork said softly .	Borker said to never trust a Sather .	entailment
Then I considered .	Afterwards , I thought about it .	entailment
Have you got him ? ''	Did you catch him ?	entailment
But when he was persuaded by divers means to help us , he gave up after one week , declaring it beyond his powers .	The person accepted defeat after seven days , as it was too difficult .	entailment
This is one of the reasons we 're growing too weak to fight the Satheri . `` What 's wrong with a ceremony of worship , if you must worship your eggshell ? '' Dave asked .	What 's wrong with a worship ceremony if it involves you doing so for your eggshell ? asked Dave .	entailment
I was soon strong enough to move .	I could move soon .	entailment
She was quite young , not more than eighteen .	She was in her mid-to late forties .	contradiction
His politeness sounded strange coming from a desert nomad .	The desert nomad was as nasty as always .	contradiction
`` So your girl writes that your little farewell activity did n't fare so well , eh ? '' he chortled .	Your girl wrote that your farewell activity did n't go well .	entailment
Shall I tell you what it would be like for your soul to live in the muck of a swamp in a mandrake root ? Dave shook his head .	My soul has lived in the dirt of a swamp before .	neutral
Emeralds ?	Diamonds ?	contradiction
Fixing current levels of damage would be impossible .	The damage will be fixed next week .	contradiction
Others watched them with cold eyes and expressionless faces .	Some people who were not emotive were watching .	entailment
For the first time I entertained the idea of taking my talents to that particular market… .	I had never considered doing it before , but I did now .	entailment
Daniel took it upon himself to explain a few things .	Daniel had no explanation .	contradiction
I 've always jumped on sentiment and here I am being more sentimental than anybody .	I 've always been soft at heart , but now I 'm being more pessimistic than ever in my life .	contradiction
Good sir , Jon began .	Jon addressed the king .	neutral
Oh yeah ? San Barenakedino ? How 's he ? Clarisse and Onardo both asked .	After not having talked to San Barenakedino for awhile , Clarisse and Onardo wondered how he was doing .	entailment
Others watched them with cold eyes and expressionless faces .	Everyone was cheering or cursing as they watched .	contradiction
How do you propose to get in touch with your would-be employers ?	How will you destroy your potential employers ' gardens ?	contradiction
As Jon looked at him , Barnam puffed out his chest .	Barnam wanted to impress Jon .	neutral
Anyway , she was found dead this morning . ''	She died during the night but was n't found until this morning .	entailment
Who ? asked Tommy .	Tommy asked about the location .	contradiction
She seemed so different ``	She had changed a lot since the last time we 'd seen her .	neutral
There 's a lot of villas all the way along , but by degrees they seemed to get more and more thinned out , and in the end we got to one that seemed the last of the bunch .	There were many homes the whole way , but as we traveled along they were further and further apart until it seemed like we reached the last one .	entailment
They wanted you , so they got you . '' Dave considered it .	They wanted to use your skills , so they brought you here .	neutral
He watched San'doro silent in his thoughts .	San'doro was watched as he left the village .	neutral
There 's one thing , he thought to himself , `` they ca n't go on shooting .	He thought that they could n't go on shooting .	entailment
Never know where they wo n't turn up next .	Everyone knows where they will turn up next .	contradiction
It takes a deeper fire than most salamanders can stir , Ser Perth .	Most salamanders ca n't stir a fire that deep .	entailment
No one would ever think of sentiment in connection with you .	Sentiment when connecting with you is beyond everyone 's expectations .	entailment
Tommy felt his ascendancy less sure than a moment before .	Tommy got more sure about his ascendancy .	contradiction
No , indeed , said Cynthia .	Yes , certainly , said Cynthia .	contradiction
Two of them saw Thorn coming .	Thorn was seen coming by two of them .	entailment
And the door into Mr. Inglethorp 's room ?	What about the door to Mr. Inglethorp 's room ?	entailment
The tip was hooked towards the edge , the same way the tips are hammered for knives used for slaughter .	They were fragile and could not leave a scratch .	contradiction
From that spot she could see all of them and , should she need to , she could see through them as well .	She could see through them all .	entailment
I think as soon as they get you , they 'll come for me .	They will come after me first .	contradiction
Through a friend who knows the lift boy here .	A friend knows the lift boy here .	entailment
It was worth the trip for that .	It was a good event .	entailment
Your speeches are inflammatory .	Your speeches upset people .	entailment
But you might as well see for yourself if you do n't believe me . The note , in Tuppence 's well-known schoolboy writing , ran as follows : `` DEAR JULIUS , `` It 's always better to have things in black and white .	Tuppence did n't have well-known handwriting , it was n't recognizable as her note .	contradiction
He had no real answer .	He had the answer .	contradiction
Said we was a-staying at the inn .	He was not staying at the inn .	contradiction
If she did n't like her restaurant so much , the woman 'd be high-up in Applied by now .	She hated the restaurant !	contradiction
I feel , though , that I should like to point out to you once more the risks you are running , especially if you pursue the course you indicate .	I do not think that you understand the risks you are taking .	entailment
Sure enough , there was the chest , a fine old piece , all studded with brass nails , and full to overflowing with every imaginable type of garment .	The chest was built over 200 years ago .	neutral
Jon 's feeling of age and weariness must have shown .	Jon was weary and feeling his age .	entailment
Have you got him ? ''	Did you catch him redhanded ?	neutral
The rain had stopped , but the green glow painted everything around them .	The green glow painted everything around them after the rain had stopped .	entailment
Welts grew on each of the man 's cheeks .	There were welts growing on each of the man 's cheeks .	entailment
Then he is very sure .	He is very sure of himself .	neutral
Then , all the time , it was in the spill vase in Mrs. Inglethorp 's bedroom , under our very noses ? I cried .	You mean to say it was stupid for us to look so far and hard when it was always right beside us ?	neutral
What idiots girls are !	They believed girls to be the more intelligent gender .	contradiction
Now then , Miss Tuppence , said Sir James , `` you know this place better than I do .	Sir James expected Miss Tuppence to give him directions .	neutral
Jon drew it out and stabbed again in the man 's throat .	Jon stabbed the man 's throat multiple times .	entailment
83 At that point , Poirot nudged me gently , indicating two men who were sitting together near the door .	The two men looked mean .	neutral
From that spot she could see all of them and , should she need to , she could see through them as well .	She was n't able to see them .	contradiction
He did not immediately recognize Tuppence .	Tuppence was not immediately recognized by him .	entailment
In the other sight he saw Adrin 's hands cocking back a pair of dragon-hammered pistols .	Adrin was seen cocking a pistol in each hand out of the corner of his eye .	neutral
The second half of the book dealt with the use of the true name .	Using true names was covered in the second part of the book .	entailment
Something in his mind seemed also to have developed a `` tan '' that let him face the bite of chance without flinching .	He had somehow become more accustomed to facing chances .	entailment
Pray be seated , mademoiselle .	Please , everyone be seated .	neutral
She was a very good mistress to me , sir .	She was a good mistress .	entailment
Over their backs fell the cutting lashes of a whip .	They were consistently whipped on their backs .	neutral
We 're no nearer to finding Tuppence , and NEXT SUNDAY IS THE 29TH ! ''	Next Sunday is going to be the 28th .	contradiction
They greeted her and she smiled shyly back .	She smiled at the group .	entailment
It 's all right .	It is well .	entailment
Why should n't he be ?	He is already that way .	neutral
It is nice to be reminded that people remember .	No one cared or remembered .	contradiction
What you say about Lawrence is a great surprise to me , I said .	I knew that about Lawrence all along .	contradiction
Well , she 's found .	She was unharmed .	neutral
I understand , '' continued the Coroner deliberately , `` that you were sitting reading on the bench just outside the long window of the boudoir .	I understand that you were reading inside the boudoir. , continued the Coroner .	contradiction
I could 've afforded a much swankier , up-town place- or at least , a slightly swankier , mid-town place- but all that space would just encourage me to clutter .	I could have had a bigger place but then I would have clutter .	entailment
I did so .	I did what I was told to do .	neutral
Each one planting itself in the sides of Stark 's neck .	Stark had two swords stuck in his neck .	neutral
Perhaps a further password would be required , or , at any rate , some proof of identity .	Identity should be a minimum requirement .	entailment
She has believed that the sleeping draught she administered was perfectly harmless , but there is no doubt that for one terrible moment she must have feared that Mrs. Inglethorp 's death lay at her door .	She had no doubt that Mrs. Inglethorp 's death was not a concern .	contradiction
'Would you like some tea ? '	Do you want some coffee ?	contradiction
Ho there -- what the devil ? '' The overseer 's hand spun Hanson around .	The overseer 's hand pushed Hanson forward .	contradiction
He had to try something .	He did n't need to try anything .	contradiction
'The autopilot 's damaged- will the train still slow down ? '	'Will the train slow down ? The autopilot is damaged ' .	entailment
They do not know it themselves . '	They know it all .	contradiction
She was 96 just turning away when she heard a piercing whistle , and the faithful Albert came running from the building to join her .	It was eerily silent when she saw Albert running towards her .	contradiction
… I succeeded in my false career .	My fake career was a success .	entailment
Sitting up at night is always rather jumpy , she confessed .	She stated , `` Sitting up at night is relaxing . ''	contradiction
Poor Dave , she said .	She felt bad for Dave .	entailment
You are sure that you did not in any way disclose your identity ? '' Tommy shook his head .	Are you sure you did n't reveal who you are ?	entailment
I noticed that there was a long branch running out from the tree in the right direction .	The branch was positioned in the right position on purpose .	neutral
Now it 's my turn , and even if I 'm walking in a dead man 's shoes , I can make my way afresh .	It 's my turn to do this .	entailment
I have been visiting an old woman in the village , she explained , `` and as Lawrence told me you were with Monsieur Poirot I thought I would call for you . ''	I am good friends with Monsieur Poirot .	neutral
It sounds perfect , said Jon .	Jon thought that the idea was perfectly sound .	entailment
Criminal discovered in last chapter .	Criminal is never discovered .	contradiction
I had an additional reason for that belief in the fact that all the cups found contained sugar , which Mademoiselle Cynthia never took in her coffee .	Mademoiselle Cynthia always took lots of sugar in her coffee .	contradiction
But to you , who know the truth , I propose to read certain passages which will throw some light on the extraordinary mentality of this great man . '' He opened the book , and turned the thin pages .	Two of the thin pages stuck together as he leafed through them , and he paused to separate them carefully .	neutral
Tommy was suddenly galvanized into life .	Tommy was paralyzed into a depression .	contradiction
Still , it would be interesting to know . 109 Poirot looked at me very earnestly , and again shook his head .	Poirot was disappointed with me .	neutral
Why , when I was your age , I already had ... . '' Dave was n't listening any longer .	Dave was paying the speaker lots of attention .	contradiction
He could make quite an issue out of the need to determine the characteristic impedance of their sky .	He had no reason to make an issue of the situation .	contradiction
She was taken to the infirmary , and on recovering consciousness gave her name as Jane Finn .	When she came to , she said her name was Bob .	contradiction
Then he ran .	He then started to run .	entailment
They even smiled at Susan and she smiled back .	They smiled at Susan , who in turn smiled back at them .	entailment
They 're taking us away this morning .	They are coming to get us today .	entailment
Where do you think she can be , Sir James ? '' The lawyer shook his head .	She 's standing right over there .	neutral
Ask Cook if she 's missed any . '' It occurred to me very forcibly at that moment that to harbour Miss Howard and Alfred Inglethorp under the same roof , and keep the peace between them , was likely to prove a Herculean task , and I did not envy John .	To keep the peace between Miss Howard and Alfred Inglethorp would be difficult , in the aftermath of their divorce .	neutral
Mr. Inglethorp , said the Coroner , `` you have heard your wife 's dying words repeated here .	Mr. Inglethorp , as per your request , your wife 's dying words have been read .	neutral
With him was the evil-looking Number 14 .	Number 14 was with him .	entailment
The tents had been burned , but there was a new building where the main tent had been .	There was a building were the tents once were .	entailment
But there 's SOMETHING .	You also know there 's something , right ?	neutral
A clean , wholesome-looking woman opened it .	The pure looking woman opened it .	entailment
Ca'daan 's mouth hung open .	Ca'daan had his mouth wide open .	entailment
You did , did n't you ? ''	Did you do it ?	entailment
He reverted to his former point of view .	He went back to his previous thoughts .	entailment
Look , there 's a legend here .	The legend returns from his adventures here .	neutral
For the upcoming world championships in microhockey , a super-vaccine was to be developed , which would be administered to all participants and audience members .	A super-vaccine was being developed to be given to everyone in attendance at the world championships .	entailment
And it needs work too , you know , in case I have to jump out with this parachute from my lil ' blue sports plane for real . '	It does n't need to work .	contradiction
We always knew it was an outside chance .	We felt it was definitely going to happen .	contradiction
It was made up to look as much like an old-fashioned steam train as possible .	They altered it enough over the course of the day to fit in with the old-timey theme .	neutral
If I had chosen to be an actor , I should have been the greatest actor living !	I chose to become an actor , but I was n't very good at it .	contradiction
No money no results ! '' Another voice which Tommy rather thought was that of Boris replied : `` Will you guarantee that there ARE results ? ''	Money will give results if there is enough of it .	neutral
Tuppence seized the bell and Jane the knocker .	Tuppence and Jane waited before entering the room .	neutral
But it 's for us to get busy and do something . ''	We do n't do much , so maybe this would be good for us to bond and be together for the first time in a while..	neutral
Tell me , how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon ? '' Poirot smiled .	How did you work out from that text that there was a new will ?	entailment
I understand , '' continued the Coroner deliberately , `` that you were sitting reading on the bench just outside the long window of the boudoir .	Just outside the second window of the boudoir , I understand that you were sitting and reading Moby Dick , continued the Coroner .	neutral
The sooner we strike the better . '' He turned to Tuppence .	He convinced Tuppence to hold off on their action plan .	contradiction
In a moment or two he was back .	While he was gone , I spent some time observing the room .	neutral
Egg cattle merry wedged marvelous	They were so excited .	neutral
'The autopilot 's damaged- will the train still slow down ? '	The damage to the autopilot was very severe .	neutral
This is my old friend , Monsieur Poirot , whom I have not seen for years . ''	Monsieur Poirot is a long time enemy of mine ; I hate her .	contradiction
The stuff was strong , but somewhat brittle .	It was incredibly strong and not brittle at all .	contradiction
Do you think Mrs. Inglethorp made a will leaving all her money to Miss Howard ? I asked in a low voice , with some curiosity .	I yelled at the top of my lungs .	contradiction
Well , let us leave it .	Let 's leave it .	entailment
And truly , the father was right , his son had already experienced everything , tried everything , and was interested in less and less .	The son was becoming depressed for lack of interest .	neutral
Oh , my friend , have I not said to you all along that I have no proofs .	I told you from the start that I had no evidence .	entailment
I 'm sure he 'll be back to work soon enough- it 's only a leg wound , barely broken flesh .	My legs will never heal .	contradiction
She would be almost certainly sent to you under an assumed one .	The man told the other man that Bill would be sent to him .	contradiction
He had forgotten about Adrin .	He did n't remember Adrin .	entailment
Why blame her because she had been true to her creed ?	Did she deserve to be blamed for following what she believes in ?	entailment
How did this man know ?	The man 's wife told him something .	neutral
It was still night .	The sun was blazing in the sky , darkness nowhere to be seen .	contradiction
`` The summons was only for Dave Hanson , '' Ser Perth said sternly as the three drew up to him .	All of them had been invited .	contradiction
Both professors soon realized that creating a new language was not an easy task .	Professors realized it was easy to make a new language .	contradiction
I do n't know .	I have not the first clue .	entailment
I 've thought it well over ``	I never even gave it much thought .	contradiction
Hersheimmer `` WELL , '' said Tuppence , recovering herself , `` it really seems as though it were meant to be . '' Carter nodded .	It was destiny .	entailment
Bauerstein had been at Styles on the fatal night , and added : `` He said twice : 'That alters everything . ' And I 've been thinking .	The fact that Styles was at Bauerstein changes everything .	entailment
A man like me can not fail… .	A man such as me can not fail ...	entailment
And she came to you ?	The woman asked if he came to her .	contradiction
Every fresh circumstance seems to establish it more clearly . ''	Every new thing seems to prove it .	entailment
Tell me , how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon ? '' Poirot smiled .	How could you not figure out that there was a will written yesterday ?	contradiction
Bauerstein . ''	The doctor .	neutral
Ah , ma foi , no ! replied Poirot frankly .	I asked Poirot if he liked cats and he said no .	neutral
No one would ever think of sentiment in connection with you .	Everyone would expect sentiment when connecting with you .	contradiction
'Upload him into his body ? What body ? '	He has a body .	contradiction
At eight in the morning .	The prayer will take place at eight .	neutral
We should n't have been here as soon as this even , if it had n't been for the fact that there was a smart doctor on the spot , who gave us the tip through the Coroner .	The doctor could only help us through the Coroner .	neutral
She was taken to the infirmary , and on recovering consciousness gave her name as Jane Finn .	When she awoke she said her name was Jane Finn .	entailment
There is nothing more to be done here , I think , unless , he stared earnestly and long at the dead ashes in the grate .	There is n't anything left to do .	entailment
Do n't you know ?	Do you not know ?	entailment
Peel Edgerton .	Do not peel Edgerton .	contradiction
When Mr. Hastings and Mr. Lawrence came in yesterday evening , they found your mistress busy writing letters .	Your mistress wrote letters last night .	entailment
The bridge would work for a very short time but the stream is n't a clear defense .	The bridge would work indefinitely .	contradiction
But you might as well see for yourself if you do n't believe me . The note , in Tuppence 's well-known schoolboy writing , ran as follows : `` DEAR JULIUS , `` It 's always better to have things in black and white .	If you do n't believe me then maybe looking at this will convince you .	entailment
Say , man , do n't you know you 've been given up for dead ?	You were given up for dead after we lost you in the desert for three weeks .	neutral
There 's one thing , he thought to himself , `` they ca n't go on shooting .	He thought that they could not keep shooting because they were very tired .	neutral
Answer ? said Julius .	Julius needed an answer right then .	neutral
He found himself thinking in circles of worry and pulled himself back to his problem .	He got lost in circles of worry , and could not face his problem anymore .	contradiction
Cybernetics had always been Derry 's passion .	Derry knew nothing of cybernetics .	contradiction
But she 's not like her photo one bit .	She looks exactly how I pictured her and she 's exactly the girl in the photo .	contradiction
I feel , though , that I should like to point out to you once more the risks you are running , especially if you pursue the course you indicate .	I want to join you on this course and forget about the risks .	contradiction
Sir James 's presence in Manchester was not accidental .	Sir James had come to Manchester with the intent of buying a new carriage .	neutral
Look out for that overseer up there .	You do not need to worry about that overseer .	contradiction
They were so sure of themselves that they took it for granted he had made a mistake . ''	They were unconfident so they were hesitant to think he might have made a mistake .	contradiction
Waterloo .	In the Battle of Waterloo .	entailment
Unless the mention of the Ritz was an accidental remark ? ''	Was mentioning the Ritz accidental and careless ?	entailment
Your man would n't have remained conscious after the first blow .	After the first blow , your man would n't have remained conscious .	entailment
I found her leaning against the bannisters , deadly pale .	In addition to looking pale , she also look very weak .	neutral
Candle grease ?	There was candle grease on the table .	neutral
'I see . '	I was blind .	contradiction
He threw one of them and shot the other .	He shot his gun at the man .	neutral
Four or five from the town rode past , routed by their diminished numbers and the fury of the Kal and Thorn .	Kal and Thorn were furious at the villagers .	neutral
I take it Americans have a higher opinion of morality than you have even .	I feel that Americans value morality more than you do .	entailment
Ca'daan closed the door behind them and retied the not .	Ca'daan closed the door behind them , and quickly tied it off to prevent their pursuers from following .	neutral
Not yourself .	Not you	entailment
I jumped , coat tails flapping .	I was completely naked .	contradiction
I sha n't stop you . ''	I will stop you .	contradiction
They do not know it themselves . '	They have no knowledge of it themselves .	entailment
We make simulacra out of mandrakes -- like the manicurist in the barber shop .	We do n't use mandrake in anything .	contradiction
'Not entirely , ' I snapped , harsher than intended .	Yes , entirely I shouted just as harsh as I intended to .	contradiction
No , indeed , said Cynthia .	No , indeed , said my wife .	neutral
Where are you going ?	I 'm curious as to where you 're going .	entailment
Look , it 's your skin , but you 're going to be in trouble if you do n't get busy .	The boss will fire you if he sees you slacking off .	neutral
There was food for all , and houses had been conjured hastily to shelter the people .	Housed were haphazardly built to accommodate people .	entailment
All of them slept in one cave on animal skins , a single large clay pot cooked all of their food .	Because they were poor , they could only afford to cook their food with a clay pot .	neutral
For a second , I thought the crowd might provide me with some cover , or at least slow my pursuers down with its sheer density .	I thought I might hide in the crowd .	entailment
He pulled his cloak tighter and wished for a moment that he had not shaved his head .	The man pulled his super hero cape around himself to show off .	neutral
Jon replaced Susan 's cloak with a white robe and a head scarf , also quite dirty .	Jon replaced the cloak with a robe .	entailment
